[14/Nov/2023 20:05:42] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\amity\myenv\StockPrice\dashboard\templates with glob **/*.
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\amity\myenv\StockPrice\locale with glob **/*.mo.
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\amity\myenv\StockPrice\dashboard\locale with glob **/*.mo.
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\asyncio\protocols.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\secrets.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\views\debug.py first seen with mtime 1699971417.1140277
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\html\parser.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\types.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1699971416.7643576
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\pickle.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1699971416.870483
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1699971413.4391181
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\gettext.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\StockPrice\dashboard\models.py first seen with mtime 1699971974.6126432
